iter	TotalF1:average=Macro	MultiClass
0	0.6454887729	1.071230246
1	0.6659510096	1.047175917
2	0.6715155429	1.024585664
3	0.6933949588	1.00424963
4	0.697340777	0.9853109799
5	0.6985431005	0.9677890827
6	0.704114395	0.9513253527
7	0.7090845732	0.9358072412
8	0.7121390176	0.9212209284
9	0.7168624733	0.9073417356
10	0.7177083717	0.8946451941
11	0.7209977279	0.8823115306
12	0.7233822196	0.8705049616
13	0.7267769577	0.8595621384
14	0.7277984763	0.8492917284
15	0.7303970674	0.8392668839
16	0.7313503538	0.8298398039
17	0.7345535151	0.8205986126
18	0.7358562631	0.8119898926
19	0.7375593698	0.8038649751
20	0.7389274443	0.7961461751
21	0.7399721325	0.78851799
22	0.7409609942	0.7814654261
23	0.7426294948	0.7745462978
24	0.744030142	0.7679803108
25	0.7447604154	0.761865932
26	0.7462198854	0.7554882939
27	0.7472664298	0.7495446227
28	0.7482622925	0.7439356138
29	0.7486377976	0.7385311818
30	0.7493182619	0.7333165121
31	0.7502943163	0.7283608092
32	0.7512935287	0.723538856
33	0.7522635189	0.7187496728
34	0.7532119024	0.7141339717
35	0.7539298003	0.709836862
36	0.7547872356	0.7055836724
37	0.7555008251	0.7014263324
38	0.7556278299	0.6975206828
39	0.7562084558	0.6938487157
40	0.7570615327	0.6902237573
41	0.7578574284	0.6867591939
42	0.7583737647	0.6832998654
43	0.7591979521	0.6798253558
44	0.7598862049	0.6765001434
45	0.7602580316	0.6733846381
46	0.7607078205	0.6704167024
47	0.7613427843	0.6675277079
48	0.7618760952	0.6645008281
49	0.7623516333	0.6617233877
50	0.7627270762	0.6590639926
51	0.7632050419	0.65633644
52	0.7635855222	0.6538816741
53	0.7643704154	0.6512961424
54	0.7647832594	0.6489261283
55	0.7652071532	0.6466296111
56	0.765807495	0.6443610479
57	0.7660276544	0.6421994321
58	0.7665115177	0.6399985552
59	0.7667881814	0.6377564278
60	0.7672879023	0.6356527616
61	0.7678435442	0.6337588024
62	0.7681141822	0.6317764793
63	0.7685899125	0.6297852047
64	0.7690591633	0.6277540408
65	0.7693923757	0.6258108742
66	0.7700139105	0.6240402998
67	0.7702724049	0.6222511941
68	0.7709648218	0.6205152742
69	0.771438324	0.6188923218
70	0.771537576	0.6172495817
71	0.7718713309	0.615708659
72	0.7722725395	0.6141522936
73	0.772620263	0.612542847
74	0.7730056703	0.6110488283
75	0.7734641026	0.6094923582
76	0.7737265803	0.6080138869
77	0.7740590923	0.6064111933
78	0.774241093	0.6050351152
79	0.7746451557	0.6036737469
80	0.7748398868	0.6023999573
81	0.7753647533	0.6009886488
82	0.7755244388	0.5997151209
83	0.7759350012	0.5984126968
84	0.7762754837	0.5971335676
85	0.7765808797	0.5958828635
86	0.7769851632	0.5946702166
87	0.7774196868	0.5935186077
88	0.7776593147	0.5923442274
89	0.7779742718	0.5912442338
90	0.7780915079	0.5901051362
91	0.7784316217	0.5889998032
92	0.7787598796	0.5877541245
93	0.7791677464	0.5866293703
94	0.7794925795	0.5855458141
95	0.7796907061	0.5845304154
96	0.7799873295	0.583497637
97	0.7800534583	0.5824013079
98	0.7802850214	0.5814419217
99	0.7805756096	0.5804404999
100	0.7809860804	0.5794687073
101	0.7811712139	0.5786227598
102	0.781508208	0.5777157742
103	0.7816920898	0.5767753381
104	0.7819858688	0.5758519152
105	0.782060931	0.5749922001
106	0.7822882544	0.5741457815
107	0.7825263462	0.5732529299
108	0.7826804676	0.5723057933
109	0.7828830149	0.5714533022
110	0.7832251139	0.5706911119
111	0.7834764978	0.5698886134
112	0.7838114009	0.5690174341
113	0.7840334479	0.5682473391
114	0.7842479608	0.5673752699
115	0.7843678021	0.5666209318
116	0.7845383742	0.5657451981
117	0.7846740292	0.564973271
118	0.7849286454	0.5642526975
119	0.7850665806	0.5635170477
120	0.785418155	0.5626552387
121	0.7855931865	0.561938696
122	0.7859734214	0.5611706427
123	0.7861933802	0.5604702233
124	0.7863779833	0.5597675529
125	0.7866686715	0.5590462989
126	0.7869333765	0.5583380796
127	0.7870668743	0.5576216416
128	0.7872126265	0.5569500137
129	0.7874010792	0.5563306817
130	0.7877424454	0.5557366863
131	0.7880550962	0.5550412923
132	0.7882083261	0.5543852642
133	0.7885495833	0.5537443647
134	0.7886557926	0.5531696858
135	0.7887972935	0.5524613618
136	0.7890925568	0.5518625503
137	0.7892884378	0.5512073597
138	0.7894361693	0.5505907499
139	0.7897169459	0.5499457672
140	0.7900274634	0.5493517194
141	0.7901812685	0.5487389833
142	0.7901989486	0.5481736224
143	0.7903415016	0.5475910912
144	0.7907018967	0.5470535795
145	0.7908094105	0.5464694255
146	0.7910948759	0.545920973
147	0.7913877935	0.5453851365
148	0.7916115615	0.5448406624
149	0.7917682645	0.5442786518
150	0.7919668604	0.5437393079
151	0.7921283172	0.5431966137
152	0.7922318188	0.5426950129
153	0.7924502892	0.5421786499
154	0.7925584989	0.5416597741
155	0.7926728411	0.5411455051
156	0.7928866992	0.5405296281
157	0.7928648537	0.5400200703
158	0.7930522119	0.5395042308
159	0.7932570776	0.5389712734
160	0.7933437901	0.5384379495
161	0.7935728233	0.5379438345
162	0.7937345629	0.5373643395
163	0.7938149566	0.5368591267
164	0.7940268975	0.536392861
165	0.7941022188	0.5359145028
166	0.7942305807	0.5354028511
167	0.7944688032	0.5348387465
168	0.7944830757	0.534369811
169	0.7946223157	0.5339324415
170	0.7949648405	0.5334918787
171	0.795013242	0.5329930523
172	0.7950884176	0.5325812288
173	0.7953088339	0.5320780052
174	0.7953443574	0.5316164507
175	0.7956067215	0.5311218123
176	0.79574435	0.5306582686
177	0.7959098365	0.5302233595
178	0.7960824999	0.5298009092
179	0.7960788083	0.5293221322
180	0.796205836	0.5289681011
181	0.7962573503	0.5285427717
182	0.7963314502	0.5280771341
183	0.7965032267	0.527730327
184	0.7967047225	0.5272756302
185	0.7967498081	0.5268452754
186	0.7969816931	0.526454077
187	0.7971410979	0.52604686
188	0.7974006947	0.5256530443
189	0.7974731286	0.52524834
190	0.7976954618	0.5248444734
191	0.7978781284	0.5244907563
192	0.7979868651	0.5241201832
193	0.7980630813	0.5236765319
194	0.7981155285	0.5233060634
195	0.7982583392	0.5228942398
196	0.7983868829	0.5225173848
197	0.7985219932	0.5221178631
198	0.7987954035	0.5217097562
199	0.7988930024	0.5212991367
200	0.7990504259	0.5209400278
201	0.7991628633	0.5205934824
202	0.7993436325	0.5202349494
203	0.7995164525	0.5198396155
204	0.7996565848	0.5194583109
205	0.799723045	0.5190955376
206	0.7998188608	0.5187265349
207	0.7999645223	0.5183631858
208	0.7999982191	0.5180118768
209	0.8001367336	0.5176434499
210	0.8002954585	0.5172748136
211	0.8004075784	0.5169078001
212	0.8005042164	0.5165398443
213	0.8005858979	0.5161431494
214	0.8007164572	0.5157984886
215	0.8008810229	0.5154241464
216	0.8010780302	0.515072942
217	0.8011227216	0.5147453468
218	0.8011367143	0.5144385337
219	0.8013753782	0.5140721484
220	0.8014052312	0.5137190596
221	0.8016176646	0.5133257149
222	0.801891153	0.5129829387
223	0.8019002886	0.5126565474
224	0.8019661264	0.5123392647
225	0.8020159138	0.5119880604
226	0.802200032	0.5116623497
227	0.8023056896	0.5113736492
228	0.8022997186	0.5110658415
229	0.8024407148	0.5106328169
230	0.8025233162	0.5103195127
231	0.8026940251	0.5100133802
232	0.8028318216	0.5096715986
233	0.8029558738	0.5093674553
234	0.8031249656	0.5090239462
235	0.8032671298	0.5086904356
236	0.8033570777	0.5083446755
237	0.8034164519	0.5080205352
